Algorithm Name,Maximum Scheduling Time (s),Scheduling Request Count,Usable Solution Count,Total App Count,Total Accepted App Count,Total App Priority,Total Accepted App Priority,Solution Usable Rate,App Acceptance Rate,App Priority Weighted Acceptance Rate,Average Temperature (°C),Average Performance Loss,Average Power Overhead (%),Min Priority App Acceptance Rate,Priority-1 App Acceptance Rate,Priority-2 App Acceptance Rate,Priority-3 App Acceptance Rate,Priority-4 App Acceptance Rate,Priority-5 App Acceptance Rate,Priority-6 App Acceptance Rate,Priority-7 App Acceptance Rate,Priority-8 App Acceptance Rate,Priority-9 App Acceptance Rate,Priority-10 App Acceptance Rate
CompRand,0.0005321,20,20,1200,595,6578,3283,1,0.49583333333333335,0.499087868653086,23.88,0.0669,0.45,0.4108527131782946,0.496,0.4596774193548387,0.514018691588785,0.5486725663716814,0.48031496062992124,0.5,0.4108527131782946,0.5309734513274337,0.47761194029850745,0.5673076923076923
BERand,0.0010019,20,20,1200,863,6578,4730,1,0.7191666666666666,0.7190635451505016,23.98,0.0740,0.49,0.6129032258064516,0.72,0.7419354838709677,0.6635514018691588,0.7964601769911505,0.7244094488188977,0.6129032258064516,0.751937984496124,0.7522123893805309,0.6865671641791045,0.75
Amaga,0.0099742,20,20,1200,859,6578,5503,1,0.7158333333333333,0.8365764670112497,25.48,0.1354,0.91,0.184,0.184,0.41935483870967744,0.5420560747663551,0.6283185840707964,0.8188976377952756,0.8548387096774194,0.9224806201550387,0.911504424778761,0.9328358208955224,0.9423076923076923
Ampga,0.0071977,20,20,1200,886,6578,5633,1,0.7383333333333333,0.856339312861052,23.23,0.0539,0.34,0.248,0.248,0.4032258064516129,0.5607476635514018,0.6991150442477876,0.8188976377952756,0.9032258064516129,0.9069767441860465,0.9292035398230089,0.9328358208955224,0.9903846153846154
Diktyoga,0.0100882,20,20,1200,865,6578,5555,1,0.7208333333333333,0.8444816053511706,25.39,0.1338,0.90,0.2,0.2,0.4032258064516129,0.5327102803738317,0.6283185840707964,0.7874015748031497,0.9112903225806451,0.9069767441860465,0.9646017699115044,0.9253731343283582,0.9519230769230769
Mcssga,0.012004,20,20,1200,487,6578,3576,1,0.4058333333333333,0.5436302827607176,25.18,0.1169,0.77,0.016,0.016,0.016129032258064516,0.11214953271028037,0.23893805309734514,0.4094488188976378,0.5645161290322581,0.6124031007751938,0.6371681415929203,0.6940298507462687,0.75
PriorityAwareGA,0.1089267,20,20,1200,853,6578,5361,1,0.7108333333333333,0.8149893584676193,25.34,0.1107,0.76,0.304,0.304,0.4838709677419355,0.5700934579439252,0.6371681415929203,0.7165354330708661,0.7741935483870968,0.8294573643410853,0.9026548672566371,0.9253731343283582,0.9807692307692307
MTDP,0.0146969,20,20,1200,230,6578,2172,1,0.19166666666666668,0.3301915475828519,24.90,0.1033,0.68,0,0,0,0,0,0,0,0,0,0.9552238805970149,0.9807692307692307
