Algorithm Name,Maximum Scheduling Time (s),Scheduling Request Count,Usable Solution Count,Total App Count,Total Accepted App Count,Total App Priority,Total Accepted App Priority,Solution Usable Rate,App Acceptance Rate,App Priority Weighted Acceptance Rate,Average Temperature (°C),Average Performance Loss,Average Power Overhead (%),Min Priority App Acceptance Rate,Priority-1 App Acceptance Rate,Priority-2 App Acceptance Rate,Priority-3 App Acceptance Rate,Priority-4 App Acceptance Rate,Priority-5 App Acceptance Rate,Priority-6 App Acceptance Rate,Priority-7 App Acceptance Rate,Priority-8 App Acceptance Rate,Priority-9 App Acceptance Rate,Priority-10 App Acceptance Rate
CompRand,0.0005328,20,20,1600,784,8717,4283,1,0.49,0.4913387633360101,25.51,0.1274,0.86,0.4444444444444444,0.4838709677419355,0.5159235668789809,0.5,0.45569620253164556,0.4444444444444444,0.5117647058823529,0.5,0.5,0.48125,0.5069444444444444
BERand,0.0100149,20,20,1600,1134,8717,6192,1,0.70875,0.7103361248135827,24.90,0.0883,0.57,0.6772151898734177,0.6774193548387096,0.7133757961783439,0.7528735632183908,0.6772151898734177,0.6851851851851852,0.7411764705882353,0.7215909090909091,0.6875,0.6875,0.7361111111111112
Amaga,0.006349,20,20,1600,1146,8717,7215,1,0.71625,0.8276930136514856,24.99,0.1025,0.68,0.3225806451612903,0.3225806451612903,0.3630573248407643,0.5172413793103449,0.689873417721519,0.7407407407407407,0.8470588235294118,0.8522727272727273,0.9652777777777778,0.94375,0.9444444444444444
Ampga,0.0324285,20,20,1600,1161,8717,7359,1,0.725625,0.8442124584145921,25.17,0.1097,0.70,0.2645161290322581,0.2645161290322581,0.4267515923566879,0.47126436781609193,0.7088607594936709,0.7716049382716049,0.8529411764705882,0.8693181818181818,0.9791666666666666,0.9625,0.9791666666666666
Diktyoga,0.007998,20,20,1600,1159,8717,7334,1,0.724375,0.8413444992543306,24.79,0.0921,0.65,0.25161290322580643,0.25161290322580643,0.4140127388535032,0.4827586206896552,0.740506329113924,0.7530864197530864,0.8647058823529412,0.8920454545454546,0.9583333333333334,0.9375,0.9722222222222222
Mcssga,0.0140013,20,20,1600,647,8717,4662,1,0.404375,0.5348170242055753,24.96,0.1025,0.70,0.01935483870967742,0.01935483870967742,0.05732484076433121,0.16666666666666666,0.27848101265822783,0.3395061728395062,0.5117647058823529,0.5852272727272727,0.7152777777777778,0.65,0.7638888888888888
PriorityAwareGA,0.0705232,20,20,1600,1172,8717,7102,1,0.7325,0.8147298382471033,23.77,0.0474,0.29,0.43870967741935485,0.43870967741935485,0.5414012738853503,0.603448275862069,0.6582278481012658,0.7407407407407407,0.7823529411764706,0.8295454545454546,0.8680555555555556,0.91875,0.9652777777777778
MTDP,0.0130032,20,20,1600,144,8717,1440,1,0.09,0.16519444763106572,26.34,0.1608,1.09,0,0,0,0,0,0,0,0,0,0,1
