Algorithm Name,Maximum Scheduling Time (s),Scheduling Request Count,Usable Solution Count,Total App Count,Total Accepted App Count,Total App Priority,Total Accepted App Priority,Solution Usable Rate,App Acceptance Rate,App Priority Weighted Acceptance Rate,Average Temperature (°C),Average Performance Loss,Average Power Overhead (%),Min Priority App Acceptance Rate,Priority-1 App Acceptance Rate,Priority-2 App Acceptance Rate,Priority-3 App Acceptance Rate,Priority-4 App Acceptance Rate,Priority-5 App Acceptance Rate,Priority-6 App Acceptance Rate,Priority-7 App Acceptance Rate,Priority-8 App Acceptance Rate,Priority-9 App Acceptance Rate,Priority-10 App Acceptance Rate
CompRand,0.000512,20,20,800,397,4474,2188,1,0.49625,0.489047831917747,25.13,0.0996,0.65,0.44047619047619047,0.6025641025641025,0.4794520547945205,0.47619047619047616,0.5066666666666667,0.44047619047619047,0.4722222222222222,0.5119047619047619,0.4805194805194805,0.5340909090909091,0.4588235294117647
BERand,0.0005146,20,20,800,590,4474,3273,1,0.7375,0.7315601251676352,25.81,0.1383,0.92,0.6235294117647059,0.7692307692307693,0.7808219178082192,0.7023809523809523,0.68,0.7857142857142857,0.7361111111111112,0.7142857142857143,0.7662337662337663,0.8181818181818182,0.6235294117647059
Amaga,0.042207,20,20,800,579,4474,3768,1,0.72375,0.8421993741618239,25.96,0.1549,1.05,0.24358974358974358,0.24358974358974358,0.3287671232876712,0.5238095238095238,0.7733333333333333,0.6904761904761905,0.9166666666666666,0.9166666666666666,0.8961038961038961,0.9090909090909091,0.9882352941176471
Ampga,0.0143101,20,20,800,594,4474,3840,1,0.7425,0.8582923558337059,24.12,0.0653,0.44,0.19230769230769232,0.19230769230769232,0.3287671232876712,0.6309523809523809,0.8266666666666667,0.7857142857142857,0.9027777777777778,0.8690476190476191,0.8831168831168831,0.9659090909090909,0.9764705882352941
Diktyoga,0.0080011,20,20,800,569,4474,3779,1,0.71125,0.8446580241394726,24.72,0.0879,0.62,0.15384615384615385,0.15384615384615385,0.3013698630136986,0.5,0.6533333333333333,0.7738095238095238,0.875,0.9285714285714286,0.948051948051948,0.9318181818181818,0.9764705882352941
Mcssga,0.0643348,20,20,800,334,4474,2422,1,0.4175,0.5413500223513634,23.69,0.0617,0.40,0,0,0.0684931506849315,0.15476190476190477,0.38666666666666666,0.40476190476190477,0.5416666666666666,0.5833333333333334,0.5454545454545454,0.6363636363636364,0.788235294117647
PriorityAwareGA,0.125806,20,20,800,555,4474,3616,1,0.69375,0.8082253017434063,26.08,0.1620,1.08,0.21794871794871795,0.21794871794871795,0.3972602739726027,0.5714285714285714,0.6133333333333333,0.6904761904761905,0.7638888888888888,0.8214285714285714,0.9090909090909091,0.9090909090909091,0.9764705882352941
MTDP,0.0095912,20,20,800,223,4474,2032,1,0.27875,0.45417970496200266,25.71,0.1267,0.85,0,0,0,0,0,0,0,0,0.7662337662337663,0.9090909090909091,0.9882352941176471
